id,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
kklgvgd,0.243514281,53,0.135112554,2015-08-27,43,97,A,YY
eywxvte,0.827312837,62,0.573564957,2016-08-20,79,13,C,XX
wutthxl,0.116787333,72,0.133811717,2014-01-12,19,72,C,XX
owhwsup,0.033467016,67,0.533139075,2018-02-13,67,42,B,XX
eefogss,0.166940479,29,0.49748966,2010-05-10,14,76,A,XX
dgzdbpg,0.643780119,53,0.084544569,2019-08-20,76,17,D,XX
ymiapnx,0.327706458,34,0.825126494,2013-04-08,84,8,D,YY
klwanxd,0.839767878,1,0.689928687,2020-08-18,50,58,D,ZZ
wabttpa,0.110917994,38,0.158050347,2017-08-03,19,57,C,ZZ
lcwlwvd,0.889603192,12,0.752240002,2013-08-03,26,41,D,XX
tdocbbn,0.063907976,48,,2015-03-03,38,2,C,XX
grvthwp,0.232613085,20,0.808657042,2020-11-29,11,92,A,ZZ
ipsbtug,0.587848546,13,0.026367172,2015-08-02,15,68,B,YY
wvlgbze,0.102890146,9,0.12659735,2011-02-19,23,88,A,
,0.409182133,30,0.351160902,2018-05-27,76,57,A,XX
emeslfa,0.84029263,91,0.502529735,2018-08-20,33,18,B,XX
futdftg,0.10881952,29,0.364730889,2014-02-28,80,,C,YY
fchneui,0.647921066,68,0.098895119,2015-02-04,77,23,A,YY
dzasbko,0.68892928,58,0.704871948,2011-04-14,54,78,B,YY
todhjon,0.924522158,58,0.80956768,2016-10-16,0,20,A,YY
gwkmghf,0.646022935,2,0.221983911,2013-07-13,49,1,A,ZZ
kouspvu,0.734571917,62,0.206857059,2014-10-09,10,53,C,ZZ
mpoweuh,0.303339498,9,0.251337735,2020-11-07,2,55,C,YY
vjfuitn,0.381838016,2,0.222173903,2014-06-28,94,11,,XX
lrhbufo,0.130698381,18,0.259881468,2019-04-14,21,22,C,ZZ
slemwig,0.336409598,10,0.849948868,2011-11-16,81,67,A,YY
vdstpnn,0.407002088,80,0.429978443,2011-04-25,54,86,D,XX
infzlfr,0.884896128,19,0.496886646,2014-08-20,26,8,C,ZZ
auojwzr,0.984604685,49,0.319878849,2014-01-05,33,51,C,YY
bmlidgj,0.585718507,35,0.383707857,2017-06-04,77,70,C,XX
kmunzqr,0.151875514,54,0.577233389,2021-08-19,31,48,A,XX
twzhojo,0.646081133,27,0.192595272,2018-07-29,80,11,D,ZZ
xqjziyy,0.086775789,51,0.640490464,2020-08-28,1,93,B,XX
cqnbzwc,0.354000743,38,0.512940467,2018-05-04,54,64,C,ZZ
ljgpiid,0.660661869,60,0.368244048,2019-08-07,86,81,D,ZZ
njriyca,0.788067715,85,0.446336409,2010-11-26,16,80,C,YY
nnpyumn,0.718374742,19,0.974944334,2010-01-27,51,84,D,YY
wadfvrj,0.647324455,9,0.522461871,2017-09-15,81,97,D,XX
vozgsjv,0.179680284,99,0.357293143,2019-08-27,48,73,A,YY
zbuddnu,0.589971403,1,0.527279404,2017-04-10,74,41,C,YY
llanywk,0.527288178,71,0.067054427,2016-01-28,48,68,B,YY
qvlzzud,0.117545398,13,0.934206676,2010-07-22,16,7,C,YY
,0.816864941,44,0.381248111,2012-10-23,41,11,D,YY
jzfpihf,0.689800139,38,0.355942064,2012-05-18,17,17,A,YY
vrnuvyk,0.461719761,87,0.185973571,2012-03-18,29,2,A,ZZ
zgncnzu,0.069495757,25,0.330521156,2012-05-01,82,99,A,XX
shbsxkf,0.168287627,11,0.639100618,2012-08-14,55,8,A,ZZ
ptpfbmy,0.467792655,40,0.991164536,2013-08-28,40,73,A,ZZ
ojmfgur,0.403163724,49,0.95660079,2019-05-19,59,3,A,YY
